,date,currency
257,2017-07-26,1117.7600
258,2017-07-27,1115.1500
259,2017-07-28,1121.4900
260,2017-07-31,1121.8600
261,2017-08-01,1121.0900
262,2017-08-02,1121.5500
263,2017-08-03,1127.7300
264,2017-08-04,1128.0200
265,2017-08-07,1127.3900
266,2017-08-08,1125.6000
267,2017-08-09,1138.6900
268,2017-08-10,1144.3600
269,2017-08-11,1141.5700
270,2017-08-14,1137.2200
271,2017-08-15,1135.4700
272,2017-08-16,1137.7500
273,2017-08-17,1138.2300
274,2017-08-18,1139.8300
275,2017-08-21,1137.1400
276,2017-08-22,1131.7900
277,2017-08-23,1128.5900
278,2017-08-24,1127.8000
279,2017-08-25,1121.7300
280,2017-08-28,1117.7500
281,2017-08-29,1122.5000
282,2017-08-30,1122.0500
283,2017-08-31,1122.3600
284,2017-09-01,1119.1200
286,2017-09-05,1130.0100
287,2017-09-06,1132.4900
288,2017-09-07,1125.4900
289,2017-09-08,1133.0800
290,2017-09-11,1129.7500
291,2017-09-12,1126.5600
292,2017-09-13,1129.3700
293,2017-09-14,1132.5900
294,2017-09-15,1130.6800
295,2017-09-18,1127.0700
296,2017-09-19,1128.8300
297,2017-09-20,1125.5300
298,2017-09-21,1130.8700
299,2017-09-22,1130.3900
300,2017-09-25,1134.5900
301,2017-09-26,1136.2900
302,2017-09-27,1141.6200
303,2017-09-28,1145.0800
304,2017-09-29,1142.5700
305,2017-10-02,1146.1800
306,2017-10-03,1140.5000
307,2017-10-04,1140.4400
308,2017-10-05,1139.0300
309,2017-10-06,1143.4600
311,2017-10-10,1132.0800
312,2017-10-11,1131.0400
313,2017-10-12,1129.7100
314,2017-10-13,1125.0100
315,2017-10-16,1127.7200
316,2017-10-17,1129.8600
317,2017-10-18,1130.9400
318,2017-10-19,1129.0600
319,2017-10-20,1130.6900
320,2017-10-23,1129.7300
321,2017-10-24,1128.3600
322,2017-10-25,1126.4900
323,2017-10-26,1123.0000
324,2017-10-27,1124.7900
